Year,Donor,COVID ODA,Health (excl. COVID),IDRC,ODA to Ukraine,Other ODA,Total ODA,Preliminary
2023,Sweden,256.57,397.863185,260.969345,497.974462,4369.6,5782.95518,
2024,Sweden,0.0,0.0,129.35,0.0,,5006.97,4877.6
2018,Switzerland,0.0,232.83905,332.036678,72.76486899999999,3016.7,3654.347883,
2019,Switzerland,0.0,240.975862,340.050654,38.887069,3095.7,3715.585378,
2020,Switzerland,517.687,185.566671,368.311781,40.179355,2952.2,4063.930978,
2021,Switzerland,520.181,173.876499,403.654002,53.44976,3135.8,4286.962209,
2022,Switzerland,101.6,258.591068,1404.560216,266.90270399999997,2964.3,4995.98535,
2023,Switzerland,65.711,265.85713,1512.592477,173.239132,3391.4,5408.822602,
2024,Switzerland,0.0,0.0,1149.53,0.0,,4602.58,3453.0
2018,United Kingdom,0.0,3489.7824330000003,589.42046,143.285547,18963.7,23186.170446,
2019,United Kingdom,0.0,3508.237466,745.268318,130.104304,19307.8,23691.429405,
2020,United Kingdom,2658.236,2783.684349,933.692278,204.511188,14951.1,21531.266288,
2021,United Kingdom,1581.791,1965.613944,1563.858413,157.274483,11708.0,16976.556804,
2022,United Kingdom,1153.543,1302.0035779999998,5201.615523,913.2824,9451.3,18021.707668,
2023,United Kingdom,1230.844,1866.026263,5613.163243,723.658202,10722.4,20156.128342,
2024,United Kingdom,0.0,0.0,3620.43,0.0,,17971.33,14350.900000000001
2018,United States,0.0,12332.845613,1984.229585,484.80783499999995,26998.0,41799.842615,
2019,United States,0.0,9746.117352,2263.476964,260.442532,28056.5,40326.584707,
2020,United States,1312.982,11104.529839,1790.107637,322.03191699999996,27744.4,42274.043783,
2021,United States,2807.546,13832.057119,5392.31385,389.007004,31903.4,54324.279612,
2022,United States,6265.181,11600.425466,8256.505861,9908.352204,28168.8,64199.222068,
2023,United States,1489.468,8391.270271,7118.722926,12141.308111,37091.4,66232.123993,
2024,United States,0.0,0.0,6759.67,0.0,,63298.51,56538.8
